-1.79612, 0, -7.27922e+09,
-44.1811, 0, -4.55357e+10,
-86.5789, 0, -8.37898e+10,
-128.977, 0, -1.22044e+11,
-171.376, 0, -1.60299e+11,
-213.775, 0, -1.98553e+11,
-256.175, 0, -2.36808e+11,
-298.574, 0, -2.75064e+11,
-340.974, 0, -3.13319e+11,
-383.374, 0, -3.51574e+11,
-425.775, 0, -3.8983e+11,
-468.176, 0, -4.28085e+11,
-510.577, 0, -4.66341e+11,
-552.978, 0, -5.04597e+11,
-595.379, 0, -5.42853e+11,
-637.781, 0, -5.81109e+11,
-680.182, 0, -6.19365e+11,
-722.584, 0, -6.57622e+11,
-764.986, 0, -6.95878e+11,
-807.389, 0, -7.34135e+11,
-849.791, 0, -7.72391e+11,
-892.194, 0, -8.10648e+11,
-934.596, 0, -8.48905e+11,
-976.999, 0, -8.87162e+11,
-1019.4, 0, -9.25419e+11,
-1061.81, 0, -9.63676e+11,
-1104.21, 0, -1.00193e+12,
-1146.61, 0, -1.04019e+12,
-1189.02, 0, -1.07845e+12,
-1231.42, 0, -1.1167e+12,
-1273.82, 0, -1.15496e+12,
-1316.23, 0, -1.19322e+12,
-1358.63, 0, -1.23148e+12,
-1401.04, 0, -1.26973e+12,
-1443.44, 0, -1.30799e+12,
-1485.85, 0, -1.34625e+12,
-1528.25, 0, -1.38451e+12,
-1570.66, 0, -1.42277e+12,
-1613.06, 0, -1.46102e+12,
-1655.47, 0, -1.49928e+12,
-1697.87, 0, -1.53754e+12,
-1740.28, 0, -1.5758e+12,
-1782.68, 0, -1.61406e+12,
-1825.09, 0, -1.65231e+12,
-1867.49, 0, -1.69057e+12,
-1909.9, 0, -1.72883e+12,
-1952.3, 0, -1.76709e+12,
-1994.71, 0, -1.80535e+12,
-2037.12, 0, -1.84361e+12,
-2079.52, 0, -1.88187e+12,
-2121.93, 0, -1.92012e+12,
-2164.34, 0, -1.95838e+12,
-2206.74, 0, -1.99664e+12,
-2249.15, 0, -2.0349e+12,
-2291.56, 0, -2.07316e+12,
-2333.96, 0, -2.11142e+12,
-2376.37, 0, -2.14968e+12,
-2418.78, 0, -2.18794e+12,
-2461.18, 0, -2.2262e+12,
-2503.59, 0, -2.26446e+12,
-2546, 0, -2.30271e+12,
-2588.41, 0, -2.34097e+12,
-2630.81, 0, -2.37923e+12,
-2673.22, 0, -2.41749e+12,
-2715.63, 0, -2.45575e+12,
-2758.04, 0, -2.49401e+12,
-2800.44, 0, -2.53227e+12,
-2842.85, 0, -2.57053e+12,
-2885.26, 0, -2.60879e+12,
-2927.67, 0, -2.64705e+12,
-2970.08, 0, -2.68531e+12,
-3012.48, 0, -2.72357e+12,
-3054.89, 0, -2.76183e+12,
-3097.3, 0, -2.80009e+12,
-3139.71, 0, -2.83835e+12,
-3182.12, 0, -2.87661e+12,
-3224.53, 0, -2.91487e+12,
-3266.94, 0, -2.95313e+12,
-3309.35, 0, -2.99139e+12,
-3351.75, 0, -3.02965e+12,
-3394.16, 0, -3.06791e+12,
-3436.57, 0, -3.10617e+12,
-3478.98, 0, -3.14443e+12,
-3521.39, 0, -3.18269e+12,
-3563.8, 0, -3.22095e+12,
-3606.21, 0, -3.25921e+12,
-3648.62, 0, -3.29747e+12,
-3691.03, 0, -3.33573e+12,
-3733.44, 0, -3.37399e+12,
-3775.85, 0, -3.41225e+12,
-3818.26, 0, -3.45052e+12,
-3860.67, 0, -3.48878e+12,
-3903.08, 0, -3.52704e+12,
-3945.49, 0, -3.5653e+12,
-3987.9, 0, -3.60356e+12,
-4030.31, 0, -3.64182e+12,
-4072.72, 0, -3.68008e+12,
-4115.13, 0, -3.71834e+12,
-4157.54, 0, -3.7566e+12,
-4199.95, 0, -3.79486e+12,
-4242.36, 0, -3.83312e+12,
-4284.77, 0, -3.87139e+12,
-4327.18, 0, -3.90965e+12,
-4369.6, 0, -3.94791e+12,
-4412.01, 0, -3.98617e+12,
-4454.42, 0, -4.02443e+12,
-4496.83, 0, -4.06269e+12,
-4539.24, 0, -4.10095e+12,
-4581.65, 0, -4.13921e+12,
-4624.06, 0, -4.17748e+12,
-4666.47, 0, -4.21574e+12,
-4708.88, 0, -4.254e+12,
-4751.3, 0, -4.29226e+12,
-4793.71, 0, -4.33052e+12,
-4836.12, 0, -4.36878e+12,
-4878.53, 0, -4.40705e+12,
-4920.94, 0, -4.44531e+12,
-4963.36, 0, -4.48357e+12,
-5005.77, 0, -4.52183e+12,
-5048.18, 0, -4.56009e+12,
-5090.59, 0, -4.59835e+12,
-5133, 0, -4.63662e+12,
-5175.42, 0, -4.67488e+12,
-5217.83, 0, -4.71314e+12,
-5260.24, 0, -4.7514e+12,
-5302.65, 0, -4.78966e+12,
-5345.07, 0, -4.82793e+12,
-5387.48, 0, -4.86619e+12,
-5429.89, 0, -4.90445e+12,
-5472.3, 0, -4.94271e+12,
-5514.72, 0, -4.98097e+12,
-5557.13, 0, -5.01924e+12,
-5599.54, 0, -5.0575e+12,
-5641.96, 0, -5.09576e+12,
-5684.37, 0, -5.13402e+12,
-5726.78, 0, -5.17229e+12,
-5769.19, 0, -5.21055e+12,
-5811.61, 0, -5.24881e+12,
-5854.02, 0, -5.28707e+12,
-5896.43, 0, -5.32534e+12,
-5938.85, 0, -5.3636e+12,
-5981.26, 0, -5.40186e+12,
-6023.67, 0, -5.44012e+12,
-6066.09, 0, -5.47839e+12,
-6108.5, 0, -5.51665e+12,
-6150.92, 0, -5.55491e+12,
-6193.33, 0, -5.59318e+12,
-6235.74, 0, -5.63144e+12,
